,,,,MADE BY @ MYFANTASYHOOPS,,,,,,,,,,,,
AVERAGE PROJECTIONS COMPILATION - MYFANTASYHOOPS PROJECTIONS,,,,,,,,,,,,,,,,
PLAYER,RANK,GP,MPG,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA
Jimmy Butler,24,63,"33,7","0,510","0,856","21,7","0,5","6,2","5,3","1,7","0,4","1,8","6,9","13,6","7,1","8,3"
O.G. Anunoby,53,69,"34,7","0,470","0,802","18,2","2,3","5,0","2,5","1,7","0,7","2,0","7,1","15,2","2,0","2,6"
Tyrese Haliburton,6,71,"35,2","0,487","0,860","21,1","2,8","4,0","10,1","1,6","0,5","2,7","7,7","15,8","3,0","3,5"
Fred VanVleet,33,69,"34,1","0,400","0,889","18,7","3,1","3,8","6,4","1,6","0,5","2,2","6,1","15,2","3,2","3,7"
Herbert Jones,119,71,"29,7","0,476","0,799","9,9","0,8","4,0","2,4","1,6","0,7","1,3","3,6","7,5","1,9","2,4"
Alex Caruso,167,66,"26,3","0,436","0,786","7,0","1,0","3,3","3,4","1,6","0,6","1,3","2,5","5,6","1,2","1,5"
Marcus Smart,98,66,"32,2","0,412","0,772","12,4","1,9","3,5","6,0","1,6","0,3","2,3","4,3","10,4","1,8","2,3"
Matisse Thybulle,183,72,"25,0","0,449","0,720","6,4","1,1","3,0","1,2","1,6","0,8","0,6","2,4","5,3","0,5","0,7"
De'Anthony Melton,113,75,"26,3","0,427","0,784","10,8","2,0","4,2","2,7","1,6","0,6","1,5","3,9","9,2","1,1","1,4"
Delon Wright,179,66,"22,8","0,467","0,837","7,2","0,9","3,5","3,6","1,6","0,3","1,0","2,8","5,9","1,0","1,2"
Dejounte Murray,31,75,"36,0","0,462","0,820","20,7","1,8","5,6","6,2","1,5","0,3","2,2","8,3","18,0","2,2","2,7"
Shai Gilgeous-Alexander,5,71,"35,7","0,500","0,880","30,1","1,1","4,7","5,7","1,5","0,8","2,9","9,8","19,6","9,3","10,5"
LaMelo Ball,12,63,"35,1","0,426","0,849","23,0","3,7","6,6","8,4","1,5","0,4","3,5","8,3","19,4","2,9","3,4"
Anthony Edwards,16,76,"35,9","0,463","0,775","26,4","3,0","5,6","4,5","1,5","0,7","3,2","9,4","20,5","4,5","5,8"
Paul George,36,59,"34,5","0,449","0,868","23,5","2,9","6,2","5,1","1,5","0,4","3,2","8,1","18,0","4,4","5,1"
Jalen Williams,62,76,"32,8","0,522","0,817","16,0","1,2","4,9","3,3","1,5","0,5","1,8","6,1","11,7","2,6","3,2"
Donovan Mitchell,16,70,"35,5","0,468","0,858","27,3","3,5","4,3","4,6","1,5","0,3","2,7","9,7","20,7","4,5","5,3"
Kawhi Leonard,27,56,"34,1","0,505","0,869","24,3","2,0","6,4","4,2","1,4","0,5","1,8","8,6","17,0","4,8","5,6"
Markelle Fultz,94,64,"29,6","0,500","0,790","14,6","0,5","4,0","5,9","1,4","0,4","2,4","6,0","12,0","2,1","2,6"
Gary Trent Jr.,131,68,"27,2","0,424","0,839","15,0","2,3","2,4","1,5","1,4","0,2","0,8","5,3","12,7","2,1","2,6"
Jrue Holiday,47,67,"32,8","0,481","0,819","18,0","2,2","4,6","6,7","1,4","0,4","2,7","6,9","14,2","2,2","2,7"
Ben Simmons,123,52,"29,4","0,558","0,491","8,4","0,0","6,6","6,6","1,3","0,6","2,4","3,8","6,8","0,8","1,7"
Kentavious Caldwell-Pope,136,77,"30,8","0,451","0,846","11,3","1,8","3,0","2,3","1,3","0,4","1,2","4,0","8,9","1,5","1,8"
Chris Paul,75,60,"27,8","0,464","0,848","12,4","1,4","3,8","7,3","1,3","0,3","1,8","4,6","9,9","2,0","2,4"
Nikola Jokic,1,73,"33,6","0,604","0,821","24,7","1,1","11,8","9,3","1,3","0,7","3,6","9,3","15,3","4,8","5,9"
Luka Doncic,5,67,"35,8","0,483","0,746","30,8","3,0","8,8","7,9","1,3","0,5","3,6","10,4","21,6","7,2","9,6"
Tre Jones,100,70,"29,2","0,468","0,839","13,2","0,6","3,6","6,5","1,3","0,1","1,5","5,3","11,3","2,5","2,9"
Jalen Suggs,176,60,"26,3","0,400","0,740","10,6","1,2","3,0","3,3","1,3","0,5","2,0","3,7","9,3","2,0","2,6"
De'Aaron Fox,37,73,"34,8","0,498","0,767","25,0","1,6","4,1","6,3","1,3","0,4","2,6","9,4","18,9","4,7","6,2"
Tyus Jones,84,75,"30,7","0,436","0,810","13,3","1,8","3,3","7,0","1,3","0,1","1,3","5,0","11,5","1,4","1,8"
Jonathan Isaac,183,40,"20,4","0,431","0,616","7,4","0,8","6,8","0,9","1,3","0,7","0,7","2,7","6,5","0,8","1,3"
Bam Adebayo,29,74,"34,3","0,541","0,789","20,2","0,0","9,4","3,4","1,2","0,9","2,5","8,0","14,6","4,4","5,6"
Tari Eason,129,79,"23,9","0,451","0,753","10,4","0,8","6,8","1,3","1,2","0,7","1,4","4,2","9,2","1,6","2,1"
Donte DiVincenzo,164,66,"24,8","0,423","0,816","9,3","2,0","4,4","3,0","1,2","0,2","1,6","3,3","7,7","1,0","1,3"
Ausar Thompson,167,73,"27,1","0,449","0,703","11,2","0,8","5,3","3,1","1,2","0,6","1,9","4,5","9,9","2,0","2,9"
